Domain-04	POLITICS
ThesaurusConcept-636	intensive farming
ThesaurusConcept-637	economy
ThesaurusConcept-638	agricultural economics
ThesaurusConcept-639	collectivised economy
ThesaurusConcept-640	concerted economic action
ThesaurusConcept-641	economies of scale
ThesaurusConcept-642	energy saving
ThesaurusConcept-643	war economy
ThesaurusConcept-644	business administration
ThesaurusConcept-645	Mediterranean agriculture
ThesaurusConcept-646	market economy
ThesaurusConcept-647	subsistence economy
ThesaurusConcept-648	transport economics
ThesaurusConcept-649	controlled economy
ThesaurusConcept-650	housekeeping economy
ThesaurusConcept-651	forestry economics
ThesaurusConcept-652	industrial economy
ThesaurusConcept-653	world economy
ThesaurusConcept-654	mixed economy
ThesaurusConcept-655	national economy
ThesaurusConcept-656	agri-foodstuffs
ThesaurusConcept-657	planned economy
ThesaurusConcept-658	post-industrial economy
ThesaurusConcept-659	public economy
ThesaurusConcept-660	regional economy
ThesaurusConcept-661	underground economy
ThesaurusConcept-662	urban economy
ThesaurusConcept-663	Scotland
ThesaurusConcept-664	ecosystem
ThesaurusConcept-665	euro
ThesaurusConcept-666	agro-industry
ThesaurusConcept-667	publishing
ThesaurusConcept-668	education
ThesaurusConcept-669	home education
ThesaurusConcept-670	art education
ThesaurusConcept-671	comparative education
ThesaurusConcept-672	basic education
ThesaurusConcept-673	mass education
ThesaurusConcept-674	adult education
ThesaurusConcept-675	education of foreigners
ThesaurusConcept-676	non-formal education
ThesaurusConcept-677	continuing education
ThesaurusConcept-678	physical education
ThesaurusConcept-679	pre-school education
ThesaurusConcept-680	health education
ThesaurusConcept-681	sex education
ThesaurusConcept-682	special education
ThesaurusConcept-683	sweetener
ThesaurusConcept-684	number of pupils
ThesaurusConcept-685	agronomy
ThesaurusConcept-686	radioactive effluent
ThesaurusConcept-687	equal pay
ThesaurusConcept-688	equal treatment
ThesaurusConcept-689	equality before the law
ThesaurusConcept-690	Egypt
ThesaurusConcept-691	El Salvador
ThesaurusConcept-692	market enlargement
ThesaurusConcept-693	citrus fruit
ThesaurusConcept-694	registration of voters
ThesaurusConcept-695	election
ThesaurusConcept-696	early election
ThesaurusConcept-697	European election
ThesaurusConcept-698	indirect election
ThesaurusConcept-699	local election
ThesaurusConcept-700	national election
ThesaurusConcept-701	parliamentary election
ThesaurusConcept-702	by-election
ThesaurusConcept-703	International Development Association
ThesaurusConcept-704	presidential election
ThesaurusConcept-705	primary election
ThesaurusConcept-706	electorate
ThesaurusConcept-707	electrochemistry
ThesaurusConcept-708	electrometallurgy
ThesaurusConcept-709	electronics
ThesaurusConcept-710	electrotechnology
ThesaurusConcept-711	livestock farming
ThesaurusConcept-712	economic support
ThesaurusConcept-713	free-range farming
ThesaurusConcept-714	crustacean farming
ThesaurusConcept-715	intensive livestock farming
ThesaurusConcept-716	pupil
ThesaurusConcept-717	right to stand for election
ThesaurusConcept-718	waste disposal
ThesaurusConcept-719	emancipation
ThesaurusConcept-720	packaging
ThesaurusConcept-721	pasture fattening
ThesaurusConcept-722	bottling
ThesaurusConcept-723	employment aid
ThesaurusConcept-724	emigration
ThesaurusConcept-725	Emilia-Romagna
ThesaurusConcept-726	United Arab Emirates
ThesaurusConcept-727	United Arab Emirates countries
ThesaurusConcept-728	issue of securities
ThesaurusConcept-729	issuing of currency
ThesaurusConcept-730	transport accident
ThesaurusConcept-731	designated employment
ThesaurusConcept-732	white-collar worker
ThesaurusConcept-733	office worker
ThesaurusConcept-734	public service employee
ThesaurusConcept-735	employer
ThesaurusConcept-736	borrowing
ThesaurusConcept-737	foreign aid
ThesaurusConcept-738	EU borrowing
ThesaurusConcept-739	international loan
ThesaurusConcept-740	public borrowing
ThesaurusConcept-741	food emulsifier
ThesaurusConcept-742	indebtedness
ThesaurusConcept-743	wave energy
ThesaurusConcept-744	soft energy
ThesaurusConcept-745	export aid
ThesaurusConcept-746	hard energy
ThesaurusConcept-747	electrical energy
ThesaurusConcept-748	wind energy
ThesaurusConcept-749	geothermal energy
ThesaurusConcept-750	hydraulic energy
ThesaurusConcept-751	hydroelectric power
ThesaurusConcept-752	tidal energy
ThesaurusConcept-753	nuclear energy
ThesaurusConcept-754	renewable energy
ThesaurusConcept-755	aid per hectare
ThesaurusConcept-756	solar energy
ThesaurusConcept-757	thermal energy
ThesaurusConcept-758	child
ThesaurusConcept-759	abandoned child
ThesaurusConcept-760	child of migrant
ThesaurusConcept-761	natural child
ThesaurusConcept-762	only child
ThesaurusConcept-763	commitment of expenditure
ThesaurusConcept-764	fertiliser
ThesaurusConcept-765	chemical fertiliser
ThesaurusConcept-766	investment aid
ThesaurusConcept-767	organic fertiliser
ThesaurusConcept-768	fattening
ThesaurusConcept-769	political kidnapping
ThesaurusConcept-770	economic survey
ThesaurusConcept-771	consumer survey
ThesaurusConcept-772	social survey
ThesaurusConcept-773	data recording
ThesaurusConcept-774	documentary reference recording
ThesaurusConcept-775	building subsidy
ThesaurusConcept-776	fuel enrichment
ThesaurusConcept-777	teacher
ThesaurusConcept-778	teaching
ThesaurusConcept-779	distance learning
ThesaurusConcept-780	agricultural education
ThesaurusConcept-781	programmed learning
ThesaurusConcept-782	denominational education
ThesaurusConcept-783	language teaching
ThesaurusConcept-784	general education
ThesaurusConcept-785	free education
ThesaurusConcept-786	modernisation aid
ThesaurusConcept-787	secular education
ThesaurusConcept-788	medical training
ThesaurusConcept-789	compulsory education
ThesaurusConcept-790	paramedical training
ThesaurusConcept-791	multidisciplinary education
ThesaurusConcept-792	postgraduate education
ThesaurusConcept-793	primary education
ThesaurusConcept-794	private education
ThesaurusConcept-795	vocational education
ThesaurusConcept-796	public education
ThesaurusConcept-797	production aid
ThesaurusConcept-798	scientific education
ThesaurusConcept-799	secondary education
ThesaurusConcept-800	higher education
ThesaurusConcept-801	technical education
ThesaurusConcept-802	restrictive trade practice
ThesaurusConcept-803	horizontal agreement
ThesaurusConcept-804	unlawful agreement
ThesaurusConcept-805	international cartel
ThesaurusConcept-806	vertical agreement
ThesaurusConcept-807	food aid
ThesaurusConcept-808	mutual assistance among farmers
ThesaurusConcept-809	non-tariff barrier
ThesaurusConcept-810	tariff barrier
ThesaurusConcept-811	technical barrier
ThesaurusConcept-812	customs warehouse
ThesaurusConcept-813	type of business
ThesaurusConcept-814	craft business
ThesaurusConcept-815	distribution business
ThesaurusConcept-816	joint venture
ThesaurusConcept-817	rental business
ThesaurusConcept-818	transport company
ThesaurusConcept-819	foreign enterprise
ThesaurusConcept-820	European undertaking
ThesaurusConcept-821	family business
ThesaurusConcept-822	trust company
ThesaurusConcept-823	real estate business
ThesaurusConcept-824	sole proprietorship
ThesaurusConcept-825	occupational accident
ThesaurusConcept-826	aid to disadvantaged groups
ThesaurusConcept-827	industrial enterprise
ThesaurusConcept-828	multinational enterprise
ThesaurusConcept-829	private sector
ThesaurusConcept-830	public sector
ThesaurusConcept-831	maintenance
ThesaurusConcept-832	crop maintenance
ThesaurusConcept-833	physical environment
ThesaurusConcept-834	savings
ThesaurusConcept-835	aid to undertakings
ThesaurusConcept-836	compulsory saving
ThesaurusConcept-837	epidemic
ThesaurusConcept-838	epidemiology
ThesaurusConcept-839	Epirus
ThesaurusConcept-840	exhaustion of resources
ThesaurusConcept-841	Ecuador
ThesaurusConcept-842	equidae
ThesaurusConcept-843	budgetary equilibrium
ThesaurusConcept-844	ecological balance
ThesaurusConcept-845	bilateral aid
ThesaurusConcept-846	agricultural equipment
ThesaurusConcept-847	community facilities
ThesaurusConcept-848	vehicle parts
ThesaurusConcept-849	electronic equipment
ThesaurusConcept-850	industrial equipment
ThesaurusConcept-851	sociocultural facilities
ThesaurusConcept-852	ECSC aid
ThesaurusConcept-853	sports facilities
ThesaurusConcept-854	equivalence of diplomas
ThesaurusConcept-855	ergonomics
ThesaurusConcept-856	volcanic eruption
ThesaurusConcept-857	slavery
ThesaurusConcept-858	discounting
ThesaurusConcept-859	air space
ThesaurusConcept-860	European legal area
ThesaurusConcept-861	green area
ThesaurusConcept-862	EU aid
ThesaurusConcept-863	Spain
ThesaurusConcept-864	regions of Spain
ThesaurusConcept-865	protected species
ThesaurusConcept-866	industrial espionage
ThesaurusConcept-867	testing
ThesaurusConcept-868	nuclear test
ThesaurusConcept-869	Extremadura
ThesaurusConcept-870	supplementary aid for products
ThesaurusConcept-871	establishment
ThesaurusConcept-872	special-status institution
ThesaurusConcept-873	educational institution
ThesaurusConcept-874	institution of public utility
ThesaurusConcept-875	drawing up of the budget
ThesaurusConcept-876	medical institution
ThesaurusConcept-877	penal institution
ThesaurusConcept-878	public institution
ThesaurusConcept-879	tin
ThesaurusConcept-880	gold-exchange standard
ThesaurusConcept-881	emergency aid
ThesaurusConcept-882	gold standard
ThesaurusConcept-883	State
ThesaurusConcept-884	civil status
ThesaurusConcept-885	rule under emergency powers
ThesaurusConcept-886	state of emergency
ThesaurusConcept-887	Welfare State
ThesaurusConcept-888	United States
ThesaurusConcept-889	State aid
ThesaurusConcept-890	ethanol
ThesaurusConcept-891	Ethiopia
ThesaurusConcept-892	ethnology
ThesaurusConcept-893	labelling
ThesaurusConcept-894	feasibility study
ThesaurusConcept-895	market research
ThesaurusConcept-896	work study
ThesaurusConcept-897	student
ThesaurusConcept-898	foreign student
ThesaurusConcept-899	economic aid
ThesaurusConcept-900	Eurocredit
ThesaurusConcept-901	Eurocurrency
ThesaurusConcept-902	Eurodollar
ThesaurusConcept-903	Eurobond
ThesaurusConcept-904	Euromarket
ThesaurusConcept-905	Eurocommunism
ThesaurusConcept-906	Eurocontrol
ThesaurusConcept-907	Euroright
ThesaurusConcept-908	Eurogroup (NATO)
ThesaurusConcept-909	Europe
ThesaurusConcept-910	aid in kind
ThesaurusConcept-911	Northern Europe
ThesaurusConcept-912	Southern Europe
ThesaurusConcept-913	Western Europe
ThesaurusConcept-914	Eastern Europe
ThesaurusConcept-915	Community fisheries
ThesaurusConcept-916	eutrophication
ThesaurusConcept-917	budgetary assessment
ThesaurusConcept-918	project evaluation
ThesaurusConcept-919	evaluation of resources
ThesaurusConcept-920	offal
ThesaurusConcept-921	nuclear accident
ThesaurusConcept-922	financial aid
ThesaurusConcept-923	technology assessment
ThesaurusConcept-924	tax avoidance
ThesaurusConcept-925	examination
ThesaurusConcept-926	agricultural surplus
ThesaurusConcept-927	exclusion from treatment (EU)
ThesaurusConcept-928	project management
ThesaurusConcept-929	implementation of the budget
ThesaurusConcept-930	enforcement of ruling
ThesaurusConcept-931	exemption from restrictive-practice authorisation
ThesaurusConcept-932	tariff exemption
ThesaurusConcept-933	financial year
ThesaurusConcept-934	brain drain
ThesaurusConcept-935	tax exemption
ThesaurusConcept-936	farmer
ThesaurusConcept-937	agricultural holding
ThesaurusConcept-938	State farm
ThesaurusConcept-939	mixed farm
ThesaurusConcept-940	exploitation of the seas
ThesaurusConcept-941	exploitation of resources
ThesaurusConcept-942	family farming
ThesaurusConcept-943	forestry holding
ThesaurusConcept-944	dairy farm
ThesaurusConcept-945	explosive
ThesaurusConcept-946	export
ThesaurusConcept-947	export of capital
ThesaurusConcept-948	expropriation
ThesaurusConcept-949	multilateral aid
ThesaurusConcept-950	deportation
ThesaurusConcept-951	extra-territoriality
ThesaurusConcept-952	mining extraction
ThesaurusConcept-953	extradition
ThesaurusConcept-954	extreme right
ThesaurusConcept-955	extreme left
ThesaurusConcept-956	Far East
ThesaurusConcept-957	invoicing
ThesaurusConcept-958	non-refundable aid
ThesaurusConcept-959	low income
ThesaurusConcept-960	bankruptcy
ThesaurusConcept-961	hunger
ThesaurusConcept-962	type of tenure
ThesaurusConcept-963	owner farming
ThesaurusConcept-964	mixed tenure
ThesaurusConcept-965	family
ThesaurusConcept-966	large family
ThesaurusConcept-967	family by marriage
ThesaurusConcept-968	FAO
ThesaurusConcept-969	private aid
ThesaurusConcept-970	cereal flour
ThesaurusConcept-971	Fascism
ThesaurusConcept-972	animal life
ThesaurusConcept-973	European Monetary Cooperation Fund
ThesaurusConcept-974	fertility
ThesaurusConcept-975	housewife
ThesaurusConcept-976	regional aid
ThesaurusConcept-977	female migrant
ThesaurusConcept-978	EAGGF
ThesaurusConcept-979	EAGGF Guarantee Section
ThesaurusConcept-980	EAGGF Guidance Section
ThesaurusConcept-981	iron
ThesaurusConcept-982	tenant farming
ThesaurusConcept-983	collective farm
ThesaurusConcept-984	model farm
ThesaurusConcept-985	ferryboat
ThesaurusConcept-986	health aid
ThesaurusConcept-987	IFLA
ThesaurusConcept-988	wood fibre
ThesaurusConcept-989	glass fibre
ThesaurusConcept-990	textile fibre
ThesaurusConcept-991	International Federation for Documentation
ThesaurusConcept-992	International Fund for Agricultural Development
ThesaurusConcept-993	Fiji
ThesaurusConcept-994	foot-and-mouth disease
ThesaurusConcept-995	sectoral aid
ThesaurusConcept-996	wire
ThesaurusConcept-997	fishing net
ThesaurusConcept-998	subsidiary
ThesaurusConcept-999	joint subsidiary
ThesaurusConcept-1000	financing
ThesaurusConcept-1001	short-term financing
ThesaurusConcept-1002	long-term financing
ThesaurusConcept-1003	medium-term financing
ThesaurusConcept-1004	welfare
ThesaurusConcept-1005	EU financing
ThesaurusConcept-1006	compensatory financing
ThesaurusConcept-1007	supplementary financing
ThesaurusConcept-1008	financing of aid
ThesaurusConcept-1009	industrial financing
ThesaurusConcept-1010	export financing
ThesaurusConcept-1011	party financing
ThesaurusConcept-1012	budget financing
ThesaurusConcept-1013	election financing
ThesaurusConcept-1014	national financing
ThesaurusConcept-1015	excise duty
ThesaurusConcept-1016	international finance
ThesaurusConcept-1017	local authority finances
ThesaurusConcept-1018	public finance
ThesaurusConcept-1019	Finland
ThesaurusConcept-1020	Funen
ThesaurusConcept-1021	tax system
ThesaurusConcept-1022	Unicef
ThesaurusConcept-1023	nuclear fission
ThesaurusConcept-1024	International Energy Agency
ThesaurusConcept-1025	fixing of prices
ThesaurusConcept-1026	wage determination
ThesaurusConcept-1027	Province of West Flanders
ThesaurusConcept-1028	Province of East Flanders
ThesaurusConcept-1029	cereal flakes
ThesaurusConcept-1030	plant life
ThesaurusConcept-1031	floriculture
ThesaurusConcept-1032	rafting
ThesaurusConcept-1033	aircraft fleet
ThesaurusConcept-1034	International Atomic Energy Agency
ThesaurusConcept-1035	fishing fleet
ThesaurusConcept-1036	inland waterway fleet
ThesaurusConcept-1037	merchant fleet
ThesaurusConcept-1038	cyclical fluctuation
